"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV027",36,"bank",0,10.6244418167889,18,-7.37555818321112,0.00548450170279212,0.994515498297208,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"2","PROV027",52,"bank",0,15.3464159575839,23,-7.65358404241607,0.00451260075284139,0.995487399247159,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"3","PROV027",54,"bank",0,15.9366627251833,24,-8.06333727481669,0.00338413858980369,0.996615861410196,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"4","PROV027",47,"bank",0,13.8707990385855,26,-12.1292009614145,0.000193119332485696,0.999806880667514,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"5","PROV027",50,"bank",0,14.7561691899846,29,-14.2438308100154,4.34879151307123e-05,0.999956512084869,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"6","PROV027",50,"bank",0,14.7561691899846,28,-13.2438308100154,8.80156471359363e-05,0.999911984352864,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"7","PROV027",99,"bank",0,29.2172149961694,44,-14.7827850038306,2.97400059180356e-05,0.999970259994082,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"8","PROV027",23,"bank",0,6.78783782739289,22,-15.2121621726071,2.19717458806169e-05,0.999978028254119,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"9","PROV027",16,"bank",0,4.72197414079506,11,-6.27802585920494,0.0118151673549492,0.988184832645051,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"10","PROV027",15,"bank",0,4.42685075699537,14,-9.57314924300464,0.00116974594211172,0.998830254057888,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"11","PROV027",43,"bank",0,12.6903055033867,24,-11.3096944966133,0.000344113535610418,0.99965588646439,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"12","PROV027",86,"bank",0,25.3806110067734,38,-12.6193889932266,0.000136694005824827,0.999863305994175,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"13","PROV027",77,"bank",0,22.7245005525762,43,-20.2754994474238,6.18623055563392e-07,0.999999381376944,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"14","PROV027",32,"bank",0,9.44394828159011,29,-19.5560517184099,1.02737376793923e-06,0.999998972626232,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"15","PROV027",32,"bank",0,9.44394828159011,18,-8.55605171840989,0.00239334484747394,0.997606655152526,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"16","PROV027",22,"bank",0,6.4927144435932,21,-14.5072855564068,3.61159583199043e-05,0.99996388404168,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"17","PROV027",65,"bank",0,19.1830199469799,29,-9.81698005302009,0.000985163264091539,0.999014836735908,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"18","PROV027",86,"bank",0,25.3806110067734,43,-17.6193889932266,4.02488893086568e-06,0.999995975111069,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
"19","PROV027",11,"bank",0,3.2463572217966,10,-6.7536427782034,0.00847745178317088,0.991522548216829,"bank",0,-355.950381528321,0.705076051284708,0.295123383799691
