"","stealTrial","harmTrial","trialType","earnTrial","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","instr_response.keys","instr_response.rt","key_resp_2.keys","key_resp_2.rt","introKey.keys","introKey.rt","Trial.Start","Trial.Start.Wall","choiceResponse.keys","choiceResponse.rt","choiceType","Trial.End","Trial.End.Wall","nKeyPress","gamePressTimes","riskDisplaySide","Play.End","Play.End.Wall","session","participant","frameRate","expName","date","type","X","choiceValue","catchFlag","logChoiceRT"
"4",24,72,"reg",18,0,0,0,19,NA,NA,NA,NA,NA,NA,117.927878141,"Tue Jul 12 11:49:57 2016",0,4.14254307747,"steal",122.594226122,"Tue Jul 12 11:50:02 2016",10,"[123.21361708641052, 123.38862109184265, 123.54587292671204, 123.7029800415039, 123.86316800117493, 124.03206205368042, 124.19145798683167, 124.36595010757446, 124.55862593650818, 124.74999213218689]","right",125.753334045,"Tue Jul 12 11:50:05 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,24,"fine",1.42130986917097
"5",15,63,"reg",14,0,1,1,13,NA,NA,NA,NA,NA,NA,125.754153967,"Tue Jul 12 11:50:05 2016",1,2.92484402657,"bank",129.209517956,"Tue Jul 12 11:50:08 2016",10,"[129.74200010299683, 129.9197380542755, 130.0948669910431, 130.23785710334778, 130.3801989555359, 130.54424405097961, 130.7008831501007, 130.88494300842285, 131.0619990825653, 131.2472939491272]","right",132.253350019,"Tue Jul 12 11:50:11 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,14,"fine",1.07324115501246
"6",8,32,"reg",4,0,2,2,61,NA,NA,NA,NA,NA,NA,132.254348993,"Tue Jul 12 11:50:12 2016",1,3.27554416656,"steal",136.05738616,"Tue Jul 12 11:50:15 2016",10,"[136.47677493095398, 136.6585190296173, 136.81411004066467, 136.97621512413025, 137.12473893165588, 137.28594207763672, 137.44531893730164, 137.6094090938568, 137.77955198287964, 137.96592211723328]","left",138.981363058,"Tue Jul 12 11:50:18 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,8,"fine",1.18648401301279
"7",12,0,"zero",80,0,3,3,0,NA,NA,NA,NA,NA,NA,138.982037067,"Tue Jul 12 11:50:18 2016",1,1.55380606651,"bank",141.067031145,"Tue Jul 12 11:50:20 2016",10,"[141.36702609062195, 141.54067301750183, 141.70101594924927, 141.85176515579224, 141.99252605438232, 142.13718104362488, 142.28735303878784, 142.4469130039215, 142.61381316184998, 142.79764008522034]","right",143.808382034,"Tue Jul 12 11:50:23 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,80,"fine",0.440707447832135
"8",38,51,"reg",28,0,4,4,18,NA,NA,NA,NA,NA,NA,143.809092999,"Tue Jul 12 11:50:23 2016",0,2.757791996,"steal",147.097563028,"Tue Jul 12 11:50:26 2016",10,"[147.5634639263153, 147.7490589618683, 147.8930950164795, 148.0513801574707, 148.2044551372528, 148.36682200431824, 148.50941514968872, 148.666020154953, 148.8229410648346, 148.9900460243225]","right",150.007864952,"Tue Jul 12 11:50:29 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,38,"fine",1.01443035810785
"9",9,18,"reg",8,0,5,5,3,NA,NA,NA,NA,NA,NA,150.008857012,"Tue Jul 12 11:50:29 2016",0,1.64071702957,"bank",152.177866936,"Tue Jul 12 11:50:31 2016",10,"[152.7246870994568, 152.89352011680603, 153.05254101753235, 153.21193194389343, 153.3762879371643, 153.52646207809448, 153.69493103027344, 153.86172914505005, 154.02924799919128, 154.2113950252533]","left",155.218673944,"Tue Jul 12 11:50:34 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,8,"fine",0.495133359438725
"10",86,94,"reg",38,0,6,6,75,NA,NA,NA,NA,NA,NA,155.21965003,"Tue Jul 12 11:50:34 2016",1,1.57388401031,"steal",157.322137117,"Tue Jul 12 11:50:37 2016",10,"[157.7019259929657, 157.87509608268738, 158.0139720439911, 158.16955995559692, 158.320228099823, 158.47034406661987, 158.6223340034485, 158.78914213180542, 158.9731321334839, 159.1490831375122]","left",160.162786961,"Tue Jul 12 11:50:39 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,86,"fine",0.453546456244316
"11",45,46,"reg",18,0,7,7,77,NA,NA,NA,NA,NA,NA,160.163777113,"Tue Jul 12 11:50:39 2016",1,1.73747205734,"steal",162.429214954,"Tue Jul 12 11:50:42 2016",10,"[162.7568769454956, 162.92976593971252, 163.08305096626282, 163.25390696525574, 163.42111015319824, 163.58276915550232, 163.74242997169495, 163.91516208648682, 164.08565497398376, 164.2773129940033]","left",165.307119131,"Tue Jul 12 11:50:45 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,45,"fine",0.552431216221017
"12",43,70,"reg",24,0,8,8,44,NA,NA,NA,NA,NA,NA,165.308102131,"Tue Jul 12 11:50:45 2016",0,1.87272000313,"steal",167.708675146,"Tue Jul 12 11:50:47 2016",10,"[168.23116397857666, 168.3983039855957, 168.55853009223938, 168.7156081199646, 168.86979913711548, 169.02759099006653, 169.18015003204346, 169.3603320121765, 169.5439989566803, 169.73089408874512]","right",170.752252102,"Tue Jul 12 11:50:50 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,43,"fine",0.627391921165844
"13",31,105,"reg",17,0,9,9,48,NA,NA,NA,NA,NA,NA,170.753483057,"Tue Jul 12 11:50:50 2016",1,2.72452402115,"bank",174.005211115,"Tue Jul 12 11:50:53 2016",10,"[174.36504697799683, 174.55617094039917, 174.7214379310608, 174.87899208068848, 175.0392210483551, 175.196702003479, 175.3561770915985, 175.5340931415558, 175.74189805984497, 175.95771598815918]","right",176.965357065,"Tue Jul 12 11:50:56 2016",1,"PROV006",59.8953549478,"PSAP_PRO_V","2016_Jul_12_1148","A",NA,17,"fine",1.00229374172081
