stealTrial,harmTrial,trialType,earnTrial,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,instr_response_keys,instr_response_rt,key_resp_2_keys,key_resp_2_rt,introKey_keys,introKey_rt,Trial_Start,Trial_Start_Wall,choiceResponse_keys,choiceResponse_rt,choiceType,Trial_End,Trial_End_Wall,nKeyPress,gamePressTimes,riskDisplaySide,Play_End,Play_End_Wall,session,participant,frameRate,expName,date,type,X,PressTime_1,PressTime_2,PressTime_3,PressTime_4,PressTime_5,PressTime_6,PressTime_7,PressTime_8,PressTime_9,PressTime_10,PressTime_11,PressTime_12,PressTime_13,PressTime_14,PressTime_15,PressTime_16,PressTime_17,PressTime_18,PressTime_1_Diff,PressTime_2_Diff,PressTime_3_Diff,PressTime_4_Diff,PressTime_5_Diff,PressTime_6_Diff,PressTime_7_Diff,PressTime_8_Diff,PressTime_9_Diff,PressTime_10_Diff,PressTime_11_Diff,PressTime_12_Diff,PressTime_13_Diff,PressTime_14_Diff,PressTime_15_Diff,PressTime_16_Diff,PressTime_17_Diff,PressTime_18_Diff,PressTimeDiffMean
24,72,reg,18,0,0,0,19,,,,,,,117.9278781,Tue Jul 12 11:49:57 2016,0,4.142543077,steal,122.5942261,Tue Jul 12 11:50:02 2016,10,"[123.21361708641052, 123.38862109184265, 123.54587292671204, 123.7029800415039, 123.86316800117493, 124.03206205368042, 124.19145798683167, 124.36595010757446, 124.55862593650818, 124.74999213218689]",right,125.753334,Tue Jul 12 11:50:05 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,117.9278781,123.2136171,123.3886211,123.5458729,123.70298,123.863168,124.0320621,124.191458,124.3659501,124.5586259,124.7499921,,,,,,,,,5.285738945,0.175004005,0.157251835,0.157107115,0.16018796,0.168894053,0.159395933,0.174492121,0.192675829,0.191366196,,,,,,,,0.682211399
15,63,reg,14,0,1,1,13,,,,,,,125.754154,Tue Jul 12 11:50:05 2016,1,2.924844027,bank,129.209518,Tue Jul 12 11:50:08 2016,10,"[129.74200010299683, 129.9197380542755, 130.0948669910431, 130.23785710334778, 130.3801989555359, 130.54424405097961, 130.7008831501007, 130.88494300842285, 131.0619990825653, 131.2472939491272]",right,132.25335,Tue Jul 12 11:50:11 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,125.754154,129.7420001,129.9197381,130.094867,130.2378571,130.380199,130.5442441,130.7008832,130.884943,131.0619991,131.2472939,,,,,,,,,3.987846136,0.177737951,0.175128937,0.142990112,0.142341852,0.164045095,0.156639099,0.184059858,0.177056074,0.185294867,,,,,,,,0.549313998
8,32,reg,4,0,2,2,61,,,,,,,132.254349,Tue Jul 12 11:50:12 2016,1,3.275544167,steal,136.0573862,Tue Jul 12 11:50:15 2016,10,"[136.47677493095398, 136.6585190296173, 136.81411004066467, 136.97621512413025, 137.12473893165588, 137.28594207763672, 137.44531893730164, 137.6094090938568, 137.77955198287964, 137.96592211723328]",left,138.9813631,Tue Jul 12 11:50:18 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,132.254349,136.4767749,136.658519,136.81411,136.9762151,137.1247389,137.2859421,137.4453189,137.6094091,137.779552,137.9659221,,,,,,,,,4.222425938,0.181744099,0.155591011,0.162105083,0.148523808,0.161203146,0.15937686,0.164090157,0.170142889,0.186370134,,,,,,,,0.571157312
12,0,zero,80,0,3,3,0,,,,,,,138.9820371,Tue Jul 12 11:50:18 2016,1,1.553806067,bank,141.0670311,Tue Jul 12 11:50:20 2016,10,"[141.36702609062195, 141.54067301750183, 141.70101594924927, 141.85176515579224, 141.99252605438232, 142.13718104362488, 142.28735303878784, 142.4469130039215, 142.61381316184998, 142.79764008522034]",right,143.808382,Tue Jul 12 11:50:23 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,138.9820371,141.3670261,141.540673,141.7010159,141.8517652,141.9925261,142.137181,142.287353,142.446913,142.6138132,142.7976401,,,,,,,,,2.384989024,0.173646927,0.160342932,0.150749207,0.140760899,0.144654989,0.150171995,0.159559965,0.166900158,0.183826923,,,,,,,,0.381560302
38,51,reg,28,0,4,4,18,,,,,,,143.809093,Tue Jul 12 11:50:23 2016,0,2.757791996,steal,147.097563,Tue Jul 12 11:50:26 2016,10,"[147.5634639263153, 147.7490589618683, 147.8930950164795, 148.0513801574707, 148.2044551372528, 148.36682200431824, 148.50941514968872, 148.666020154953, 148.8229410648346, 148.9900460243225]",right,150.007865,Tue Jul 12 11:50:29 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,143.809093,147.5634639,147.749059,147.893095,148.0513802,148.2044551,148.366822,148.5094152,148.6660202,148.8229411,148.990046,,,,,,,,,3.754370927,0.185595036,0.144036055,0.158285141,0.15307498,0.162366867,0.142593145,0.156605005,0.15692091,0.167104959,,,,,,,,0.518095303
9,18,reg,8,0,5,5,3,,,,,,,150.008857,Tue Jul 12 11:50:29 2016,0,1.64071703,bank,152.1778669,Tue Jul 12 11:50:31 2016,10,"[152.7246870994568, 152.89352011680603, 153.05254101753235, 153.21193194389343, 153.3762879371643, 153.52646207809448, 153.69493103027344, 153.86172914505005, 154.02924799919128, 154.2113950252533]",left,155.2186739,Tue Jul 12 11:50:34 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,150.008857,152.7246871,152.8935201,153.052541,153.2119319,153.3762879,153.5264621,153.694931,153.8617291,154.029248,154.211395,,,,,,,,,2.715830087,0.168833017,0.159020901,0.159390926,0.164355993,0.150174141,0.168468952,0.166798115,0.167518854,0.182147026,,,,,,,,0.420253801
86,94,reg,38,0,6,6,75,,,,,,,155.21965,Tue Jul 12 11:50:34 2016,1,1.57388401,steal,157.3221371,Tue Jul 12 11:50:37 2016,10,"[157.7019259929657, 157.87509608268738, 158.0139720439911, 158.16955995559692, 158.320228099823, 158.47034406661987, 158.6223340034485, 158.78914213180542, 158.9731321334839, 159.1490831375122]",left,160.162787,Tue Jul 12 11:50:39 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,155.21965,157.701926,157.8750961,158.013972,158.16956,158.3202281,158.4703441,158.622334,158.7891421,158.9731321,159.1490831,,,,,,,,,2.482275963,0.17317009,0.138875961,0.155587912,0.150668144,0.150115967,0.151989937,0.166808128,0.183990002,0.175951004,,,,,,,,0.392943311
45,46,reg,18,0,7,7,77,,,,,,,160.1637771,Tue Jul 12 11:50:39 2016,1,1.737472057,steal,162.429215,Tue Jul 12 11:50:42 2016,10,"[162.7568769454956, 162.92976593971252, 163.08305096626282, 163.25390696525574, 163.42111015319824, 163.58276915550232, 163.74242997169495, 163.91516208648682, 164.08565497398376, 164.2773129940033]",left,165.3071191,Tue Jul 12 11:50:45 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,160.1637771,162.7568769,162.9297659,163.083051,163.253907,163.4211102,163.5827692,163.74243,163.9151621,164.085655,164.277313,,,,,,,,,2.593099833,0.172888994,0.153285027,0.170855999,0.167203188,0.161659002,0.159660816,0.172732115,0.170492887,0.19165802,,,,,,,,0.411353588
43,70,reg,24,0,8,8,44,,,,,,,165.3081021,Tue Jul 12 11:50:45 2016,0,1.872720003,steal,167.7086751,Tue Jul 12 11:50:47 2016,10,"[168.23116397857666, 168.3983039855957, 168.55853009223938, 168.7156081199646, 168.86979913711548, 169.02759099006653, 169.18015003204346, 169.3603320121765, 169.5439989566803, 169.73089408874512]",right,170.7522521,Tue Jul 12 11:50:50 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,165.3081021,168.231164,168.398304,168.5585301,168.7156081,168.8697991,169.027591,169.18015,169.360332,169.543999,169.7308941,,,,,,,,,2.923061848,0.167140007,0.160226107,0.157078028,0.154191017,0.157791853,0.152559042,0.18018198,0.183666945,0.186895132,,,,,,,,0.442279196
31,105,reg,17,0,9,9,48,,,,,,,170.7534831,Tue Jul 12 11:50:50 2016,1,2.724524021,bank,174.0052111,Tue Jul 12 11:50:53 2016,10,"[174.36504697799683, 174.55617094039917, 174.7214379310608, 174.87899208068848, 175.0392210483551, 175.196702003479, 175.3561770915985, 175.5340931415558, 175.74189805984497, 175.95771598815918]",right,176.9653571,Tue Jul 12 11:50:56 2016,1,PROV006,59.89535495,PSAP_PRO_V,2016_Jul_12_1148,A,,170.7534831,174.365047,174.5561709,174.7214379,174.8789921,175.039221,175.196702,175.3561771,175.5340931,175.7418981,175.957716,,,,,,,,,3.611563921,0.191123962,0.165266991,0.15755415,0.160228968,0.157480955,0.159475088,0.17791605,0.207804918,0.215817928,,,,,,,,0.520423293
