"","participant","meanChoiceRT","earns","steals","missed"
"1","PROV006",1.62131823698646,20,62,0
"2","PROV008",2.16241620116789,57,25,0
"3","PROV010",0.966904343499167,4,78,0
"4","PROV012",0.795748472213711,82,0,0
"5","PROV013",2.28819821657761,58,23,1
"6","PROV015",1.79768539799547,72,10,0
"7","PROV016",3.06964753733737,19,63,0
"8","PROV019",2.73645698890303,59,22,1
"9","PROV020",0.708958237358775,63,18,1
"10","PROV021",1.37666429148791,35,47,0
"11","PROV022",0.39488809638549,82,0,0
"12","PROV023",1.83370405832921,79,3,0
"13","PROV025",1.43125803205719,74,8,0
"14","PROV026",1.29461246066626,53,29,0
"15","PROV027",0.786824046240846,81,1,0
"16","PROV030",0.379332205984334,29,53,0
"17","PROV034",1.50037416881989,80,2,0
"18","PROV035",0.828863734668989,57,25,0
"19","PROV036",0.603887380494111,15,67,0
"20","PROV039",1.35144152641264,49,33,0
"21","PROV041",2.34150627983893,51,31,0
"22","PROV044",1.986786794662,17,65,0
"23","PROV045",1.42290944788194,62,20,0
"24","PROV047",2.08352158334552,61,21,0
"25","PROV048",1.00102577739286,65,17,0
"26","PROV049",0.30912455982635,82,0,0
"27","PROV050",0.866179217232767,82,0,0
"28","PROV053",2.30144823267281,45,36,1
"29","PROV055",0.797715051969314,15,67,0
"30","PROV056",2.12427154117156,36,46,0
"31","PROV057",0.305050455199324,44,38,0
"32","PROV058",1.02961253590042,75,7,0
"33","PROV059",1.52960469722729,82,0,0
"34","PROV060",0.501977750990268,80,2,0
"35","PROV061",2.03580842018081,64,18,0
"36","PROV062",0.347108181317586,3,79,0
"37","PROV063",1.50268173217804,13,69,0
"38","PROV064",0.418118423885723,15,67,0
"39","PROV070",1.80077913867123,51,31,0
"40","PROV071",0.7503729820251,65,17,0
"41","PROV072",0.500009886423604,81,1,0
"42","PROV073",2.85571608013544,54,28,0
"43","PROV074",4.26653017890562,47,34,1
"44","PROV075",1.10536330276066,60,22,0
"45","PROV076",1.88227417204113,74,8,0
"46","PROV077",1.20482663843372,57,25,0
"47","PROV078",0.7073755979539,80,2,0
"48","PROV079",1.56065935028926,81,1,0
"49","PROV080",0.525048666530135,7,75,0
"50","PROV081",2.60493485662679,64,18,0
"51","PROV082",2.02819138103097,51,31,0
"52","PROV084",0.25159319771664,52,30,0
"53","PROV085",0.339294054773059,82,0,0
"54","PROV088",0.275191235542314,82,0,0
"55","PROV089",0.37720247374655,79,3,0
"56","PROV090",0.380285729302429,57,25,0
"57","PROV092",1.33881292608094,78,4,0
"58","PROV093",1.76708930068563,77,5,0
"59","PROV096",1.0239346106845,9,73,0
"60","PROV097",2.62113788922644,47,35,0
"61","PROV098",1.6333330127929,66,16,0
"62","PROV099",0.6178428782359,2,80,0
"63","PROV100",0.875925517082489,13,69,0
"64","PROV102",1.29558862315314,82,0,0
"65","PROV103",1.47132427692416,62,20,0
"66","PROV104",2.11340153217298,37,45,0
"67","PROV105",0.796863982412722,3,79,0
"68","PROV106",1.17234317991482,39,43,0
"69","PROV108",1.47277563677867,55,27,0
"70","PROV110",0.45471059481305,8,74,0
"71","PROV113",1.00393702718976,59,23,0
"72","PROV115",1.52569617165424,60,22,0
"73","PROV116",1.51754770543816,76,6,0
"74","PROV117",2.04165798090815,61,20,1
"75","PROV118",0.963148526931247,63,18,1
"76","PROV119",1.13461396164347,71,11,0
"77","PROV121",1.14224010043693,80,2,0
"78","PROV122",1.13281506962266,77,5,0
"79","PROV123",0.5411952786976,4,78,0
"80","PROV125",1.15851273006889,81,1,0
"81","PROV130",0.418064755863633,6,76,0
"82","PROV134",1.5240572597206,59,22,1
"83","PROV136",1.8815076324675,66,16,0
"84","PROV139",0.387348898251808,81,1,0
"85","PROV140",2.35725786156113,65,17,0
"86","PROV141",0.73778441747018,48,34,0
"87","PROV142",0.518715429306056,74,8,0
"88","PROV143",1.10166433387317,2,80,0
"89","PROV144",2.14592186080054,63,19,0
